log_id,customer_key,log_date,topic,category,description,sentiment,channel,priority,resolution_date,agent_key
1169,15522,2024-03-25,Tarif,Vertrag,Vertragsverlängerung,Neutral,Telefon,Mittel,2024-03-25,21
1170,13537,2025-02-05,Smart Meter,Installation,Smart Meter App funktioniert nicht,Negativ,Telefon,Kritisch,2025-02-05,69
1171,19484,2025-05-12,Wallbox,E-Mobility,Wallbox Installation angefragt,Negativ,Chat,Mittel,2025-05-24,22
1172,19418,2024-05-02,Wallbox,E-Mobility,Ladekarte Probleme,Neutral,Email,Mittel,2024-05-10,94
1173,5746,2024-07-09,Rechnung,Abrechnung,Abschlag zu hoch,Neutral,Telefon,Niedrig,2024-07-11,179
1174,4161,2024-09-23,Smart Meter,Installation,Smart Meter App funktioniert nicht,Negativ,App,Kritisch,2024-09-28,82
1175,13468,2023-10-19,Wallbox,E-Mobility,App-Verbindung unterbrochen,Positiv,App,Niedrig,2023-10-25,54
1176,959,2024-11-25,Wärmepumpe,Technisch,Effizienz zu niedrig,Negativ,Telefon,Niedrig,2024-12-07,165
1177,7433,2023-09-26,Solar,Technisch,Monitoring nicht verfügbar,Negativ,App,Kritisch,2023-10-01,15
1178,5252,2023-08-01,Wärmepumpe,Technisch,Wartung angefragt,Neutral,Chat,Mittel,2023-08-01,185
1179,1514,2025-04-22,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,App,Kritisch,2025-04-24,71
1180,2285,2024-06-11,Smart Meter,Installation,Smart Meter App funktioniert nicht,Negativ,Email,Hoch,2024-06-18,137
1181,6657,2023-10-01,Tarif,Vertrag,Tarifwechsel angefragt,Neutral,Chat,Hoch,2023-10-06,81
1182,14767,2023-06-05,Tarif,Vertrag,Vertragsverlängerung,Positiv,App,Niedrig,2023-06-05,97
1183,14609,2024-05-26,Smart Meter,Installation,Smart Meter defekt,Negativ,Chat,Hoch,2024-05-28,87
1184,7512,2024-12-22,Speicher,Technisch,Batteriespeicher Störung,Negativ,Telefon,Mittel,2024-12-26,114
1185,7927,2024-06-04,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,Chat,Mittel,2024-06-11,20
1186,10429,2025-03-04,Tarif,Vertrag,Umzug melden,Positiv,App,Niedrig,2025-03-14,56
1187,17479,2024-03-18,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,Telefon,Niedrig,2024-03-26,27
1188,7773,2025-04-17,Rechnung,Abrechnung,Zahlungsplan angefragt,Positiv,App,Mittel,2025-04-26,58
1189,17027,2024-07-25,Speicher,Technisch,Batteriespeicher Störung,Negativ,Email,Mittel,2024-07-30,145
1190,11367,2025-04-29,Wallbox,E-Mobility,Wallbox lädt nicht,Negativ,Email,Kritisch,2025-04-30,46
1191,7990,2024-08-19,Solar,Technisch,Einspeisevergütung Frage,Neutral,Telefon,Mittel,2024-08-21,195
1192,11656,2024-01-28,Wärmepumpe,Technisch,Fehlercode E01 angezeigt,Neutral,Email,Niedrig,2024-02-09,118
1193,17328,2023-09-03,Wärmepumpe,Technisch,Fehlercode E01 angezeigt,Neutral,Chat,Hoch,2023-09-05,160
1194,6536,2025-04-04,Rechnung,Abrechnung,Gutschrift angefragt,Positiv,Email,Mittel,2025-04-18,20
1195,3620,2024-07-12,Allgemein,Service,Informationsanfrage,Neutral,App,Mittel,2024-07-18,96
1196,7758,2025-04-13,Tarif,Vertrag,Preisgarantie Frage,Positiv,App,Mittel,2025-04-14,151
1197,8157,2023-09-19,Wallbox,E-Mobility,Ladekarte Probleme,Positiv,Chat,Mittel,2023-10-01,166
1198,5644,2023-12-04,Solar,Technisch,Solaranlage Ertrag niedrig,Negativ,Telefon,Mittel,2023-12-10,4
1199,14336,2023-03-27,Smart Meter,Installation,Smart Meter Installation angefragt,Neutral,Chat,Niedrig,2023-04-03,72
1200,221,2024-02-15,Smart Meter,Installation,Smart Meter defekt,Negativ,Email,Hoch,2024-02-20,179
1201,5843,2023-08-31,Allgemein,Service,Informationsanfrage,Neutral,Email,Niedrig,2023-09-04,179
1202,12357,2024-04-10,Smart Meter,Installation,Smart Meter zeigt keine Daten,Negativ,Email,Mittel,2024-04-24,121
1203,323,2023-06-11,Tarif,Vertrag,Kündigung,Negativ,Telefon,Kritisch,2023-06-13,2
1204,10730,2024-09-15,Tarif,Vertrag,Vertragsverlängerung,Neutral,Telefon,Mittel,2024-09-20,61
1205,8643,2024-12-11,Speicher,Technisch,Speicher lädt nicht,Negativ,App,Mittel,2024-12-17,143
1206,5629,2024-11-12,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,Chat,Mittel,2024-11-23,156
1207,3950,2025-05-13,Speicher,Technisch,Speicher lädt nicht,Negativ,Telefon,Hoch,2025-05-15,36
1208,9349,2024-06-24,Speicher,Technisch,Kapazität gesunken,Neutral,App,Mittel,2024-06-26,118
1209,4585,2023-03-14,Smart Meter,Installation,Smart Meter zeigt keine Daten,Neutral,Telefon,Hoch,2023-03-14,2
1210,3114,2023-05-15,Solar,Technisch,Solaranlage Ertrag niedrig,Neutral,App,Mittel,2023-05-18,103
1211,9213,2024-01-16,Speicher,Technisch,Speicher lädt nicht,Negativ,Telefon,Hoch,2024-01-21,128
1212,12409,2023-10-03,Tarif,Vertrag,Kündigung,Positiv,Chat,Mittel,2023-10-06,60
1213,228,2024-12-03,Rechnung,Abrechnung,Rechnungsfrage,Neutral,Email,Mittel,2024-12-05,196
1214,6525,2023-03-26,Wärmepumpe,Technisch,Wartung angefragt,Negativ,Telefon,Mittel,2023-04-02,14
1215,11518,2024-04-24,Speicher,Technisch,Speicher lädt nicht,Negativ,App,Kritisch,2024-04-28,154
1216,13322,2025-02-16,Speicher,Technisch,Batteriespeicher Störung,Negativ,Chat,Hoch,2025-02-16,188
1217,9962,2025-05-12,Tarif,Vertrag,Tarifwechsel angefragt,Neutral,Telefon,Kritisch,2025-05-19,7
1218,8600,2023-12-13,Tarif,Vertrag,Vertragsverlängerung,Negativ,Email,Hoch,2023-12-13,180
1219,197,2023-09-17,Wallbox,E-Mobility,Wallbox defekt,Negativ,Chat,Kritisch,2023-09-20,102
1220,6060,2024-09-04,Allgemein,Service,Beschwerde,Negativ,Chat,Mittel,2024-09-04,107
1221,12373,2023-08-05,Wärmepumpe,Technisch,Geräuschentwicklung zu hoch,Neutral,Telefon,Mittel,2023-08-12,86
1222,5960,2023-08-13,Smart Meter,Installation,Smart Meter defekt,Negativ,Telefon,Mittel,2023-08-16,190
1223,14619,2023-07-13,Wallbox,E-Mobility,Wallbox defekt,Negativ,App,Mittel,2023-07-21,78
1224,1051,2025-03-06,Speicher,Technisch,Kapazität gesunken,Positiv,App,Mittel,2025-03-15,11
1225,14836,2023-06-11,Tarif,Vertrag,Umzug melden,Positiv,App,Niedrig,2023-06-16,27
1226,2066,2024-06-26,Speicher,Technisch,Kapazität gesunken,Negativ,Email,Niedrig,2024-07-09,176
1227,11539,2023-06-18,Rechnung,Abrechnung,Rechnungsfrage,Neutral,Chat,Hoch,2023-06-20,149
1228,9577,2025-04-08,Rechnung,Abrechnung,Abschlag anpassen,Negativ,Email,Hoch,2025-04-15,39
1229,13572,2025-01-24,Tarif,Vertrag,Vertragsverlängerung,Positiv,App,Niedrig,2025-01-31,199
1230,3572,2025-01-17,Tarif,Vertrag,Preisgarantie Frage,Negativ,Chat,Mittel,2025-01-29,68
1231,11050,2025-05-11,Allgemein,Service,Allgemeine Anfrage,Neutral,Email,Niedrig,2025-05-15,163
1232,13661,2023-08-23,Tarif,Vertrag,Tarifwechsel angefragt,Neutral,Email,Hoch,2023-08-30,99
1233,14718,2024-04-28,Wallbox,E-Mobility,Wallbox Installation angefragt,Neutral,Chat,Mittel,2024-05-10,117
1234,11279,2024-03-25,Speicher,Technisch,Batteriespeicher Störung,Negativ,Chat,Mittel,2024-03-26,29
1235,132,2025-04-29,Rechnung,Abrechnung,Abschlag anpassen,Neutral,App,Hoch,2025-05-06,51
1236,17345,2023-08-30,Solar,Technisch,Solaranlage Ertrag niedrig,Neutral,Email,Niedrig,2023-09-05,119
1237,7817,2023-07-31,Allgemein,Service,Kontaktdaten ändern,Negativ,Chat,Hoch,2023-08-06,109
1238,3776,2024-04-16,Smart Meter,Installation,Smart Meter Installation angefragt,Neutral,Chat,Niedrig,2024-04-24,107
1239,6,2023-03-29,Wallbox,E-Mobility,Wallbox Installation angefragt,Neutral,Email,Mittel,2023-03-29,43
1240,670,2024-06-25,Solar,Technisch,Monitoring nicht verfügbar,Negativ,Email,Mittel,2024-07-08,36
1241,13044,2023-08-27,Speicher,Technisch,Kapazität gesunken,Neutral,App,Mittel,2023-08-29,101
1242,10619,2023-06-18,Tarif,Vertrag,Kündigung,Positiv,Telefon,Niedrig,2023-07-01,166
1243,10947,2023-09-27,Solar,Technisch,Solaranlage Ertrag niedrig,Neutral,Email,Mittel,2023-10-06,188
1244,1660,2023-09-10,Rechnung,Abrechnung,Zahlungsplan angefragt,Neutral,App,Mittel,2023-09-24,158
1245,10462,2024-07-26,Solar,Technisch,Wechselrichter Fehler,Positiv,App,Mittel,2024-08-03,176
1246,2237,2024-01-21,Smart Meter,Installation,Smart Meter zeigt keine Daten,Neutral,Chat,Mittel,2024-02-02,146
1247,11372,2025-03-22,Allgemein,Service,Lob,Positiv,App,Niedrig,2025-03-27,38
1248,782,2025-06-11,Speicher,Technisch,Speicher lädt nicht,Negativ,Chat,Niedrig,2025-06-22,55
1249,15616,2024-06-17,Tarif,Vertrag,Ökostrom Umstellung,Neutral,Telefon,Mittel,2024-06-24,16
1250,18614,2024-12-24,Rechnung,Abrechnung,Abschlag zu hoch,Negativ,Telefon,Niedrig,2025-01-03,117
1251,10736,2025-04-16,Tarif,Vertrag,Tarifwechsel angefragt,Negativ,Telefon,Mittel,2025-04-23,117
1252,15347,2023-04-19,Tarif,Vertrag,Umzug melden,Neutral,Chat,Mittel,2023-04-29,116
1253,6353,2023-05-08,Smart Meter,Installation,Smart Meter zeigt keine Daten,Neutral,Telefon,Mittel,2023-05-19,67
1254,5511,2024-01-17,Speicher,Technisch,Batteriespeicher Störung,Negativ,Telefon,Mittel,2024-01-19,29
1255,7972,2023-11-25,Rechnung,Abrechnung,Abschlag zu hoch,Neutral,Telefon,Mittel,2023-12-01,24
1256,2238,2025-01-29,Smart Meter,Installation,Smart Meter App funktioniert nicht,Negativ,Email,Mittel,2025-02-03,104
1257,2241,2024-06-14,Allgemein,Service,Allgemeine Anfrage,Positiv,Chat,Mittel,2024-06-28,16
1258,9633,2024-03-24,Smart Meter,Installation,Smart Meter zeigt keine Daten,Neutral,App,Mittel,2024-03-25,141
1259,16508,2025-03-02,Smart Meter,Installation,Smart Meter Installation angefragt,Neutral,Telefon,Mittel,2025-03-11,4
1260,7099,2023-11-23,Wärmepumpe,Technisch,Effizienz zu niedrig,Negativ,Telefon,Niedrig,2023-12-02,162
1261,16529,2024-07-02,Wärmepumpe,Technisch,Wartung angefragt,Neutral,Email,Niedrig,2024-07-16,143
1262,9481,2023-06-14,Rechnung,Abrechnung,Abschlag zu hoch,Negativ,App,Mittel,2023-06-27,195
1263,19541,2023-08-30,Smart Meter,Installation,Smart Meter defekt,Negativ,App,Hoch,2023-09-05,94
1264,7850,2025-02-16,Allgemein,Service,Beschwerde,Negativ,Chat,Kritisch,2025-02-22,115
1265,3160,2024-09-06,Tarif,Vertrag,Preisgarantie Frage,Neutral,App,Niedrig,2024-09-18,181
1266,5277,2024-10-10,Allgemein,Service,Beschwerde,Negativ,Chat,Hoch,2024-10-14,131
1267,852,2023-01-06,Solar,Technisch,Solaranlage Ertrag niedrig,Neutral,App,Mittel,2023-01-11,191
1268,3465,2025-03-28,Rechnung,Abrechnung,Zahlungsplan angefragt,Neutral,App,Mittel,2025-04-01,68
1269,11568,2023-12-14,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,App,Hoch,2023-12-17,31
1270,15611,2025-06-20,Tarif,Vertrag,Kündigung,Neutral,Telefon,Mittel,2025-06-22,161
1271,14502,2024-09-24,Allgemein,Service,Lob,Positiv,App,Niedrig,2024-10-02,28
1272,18785,2025-05-09,Smart Meter,Installation,Smart Meter App funktioniert nicht,Negativ,App,Hoch,2025-05-15,104
1273,16886,2024-08-03,Rechnung,Abrechnung,Abschlag zu hoch,Neutral,Email,Niedrig,2024-08-14,119
1274,19413,2023-11-05,Solar,Technisch,Solaranlage produziert nicht,Negativ,Telefon,Hoch,2023-11-11,172
1275,1374,2024-01-25,Tarif,Vertrag,Tarifwechsel angefragt,Neutral,Chat,Mittel,2024-01-29,113
1276,6568,2023-04-29,Smart Meter,Installation,Smart Meter defekt,Negativ,Chat,Hoch,2023-05-06,168
1277,17957,2024-02-27,Wallbox,E-Mobility,App-Verbindung unterbrochen,Positiv,Email,Mittel,2024-02-28,182
1278,16746,2024-05-08,Solar,Technisch,Wechselrichter Fehler,Neutral,Email,Niedrig,2024-05-13,116
1279,6767,2023-11-16,Rechnung,Abrechnung,Gutschrift angefragt,Neutral,Telefon,Mittel,2023-11-29,168
1280,17463,2023-02-07,Rechnung,Abrechnung,Abschlag anpassen,Neutral,App,Hoch,2023-02-12,103
1281,3366,2023-11-10,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,App,Niedrig,2023-11-22,127
1282,2894,2023-04-21,Wallbox,E-Mobility,Ladekarte Probleme,Positiv,Chat,Hoch,2023-04-24,5
1283,13388,2023-01-24,Solar,Technisch,Solaranlage produziert nicht,Negativ,Email,Niedrig,2023-01-26,48
1284,13165,2024-07-17,Wallbox,E-Mobility,App-Verbindung unterbrochen,Neutral,Telefon,Niedrig,2024-07-31,51
1285,4391,2023-10-18,Allgemein,Service,Beschwerde,Negativ,Email,Hoch,2023-10-23,103
1286,18270,2023-12-30,Speicher,Technisch,Speicher lädt nicht,Negativ,Chat,Mittel,2024-01-09,118
1287,3037,2025-05-02,Wallbox,E-Mobility,Wallbox lädt nicht,Negativ,Chat,Kritisch,2025-05-07,143
1288,5882,2023-04-26,Solar,Technisch,Solaranlage produziert nicht,Negativ,Email,Hoch,2023-04-28,18
1289,12308,2023-08-11,Wärmepumpe,Technisch,Fehlercode E01 angezeigt,Positiv,Email,Hoch,2023-08-18,26
1290,10839,2023-06-23,Wärmepumpe,Technisch,Effizienz zu niedrig,Neutral,Chat,Mittel,2023-07-06,61
1291,18293,2024-05-31,Speicher,Technisch,Kapazität gesunken,Neutral,App,Niedrig,2024-06-14,163
1292,2095,2024-10-05,Allgemein,Service,Allgemeine Anfrage,Neutral,App,Mittel,2024-10-16,135
1293,10794,2023-06-27,Wallbox,E-Mobility,Ladekarte Probleme,Positiv,Chat,Mittel,2023-07-11,93
1294,18740,2024-02-21,Smart Meter,Installation,Smart Meter zeigt keine Daten,Neutral,Telefon,Hoch,2024-02-24,109
1295,13778,2025-04-05,Solar,Technisch,Einspeisevergütung Frage,Neutral,App,Niedrig,2025-04-06,171
1296,12070,2023-01-12,Smart Meter,Installation,Smart Meter Installation angefragt,Neutral,Email,Mittel,2023-01-15,45
1297,1639,2023-08-23,Speicher,Technisch,Speicher lädt nicht,Negativ,Telefon,Hoch,2023-08-27,10
1298,16006,2023-05-17,Wärmepumpe,Technisch,Fehlercode E01 angezeigt,Neutral,Email,Mittel,2023-05-30,140
1299,4998,2024-06-14,Smart Meter,Installation,Smart Meter zeigt keine Daten,Negativ,Email,Niedrig,2024-06-26,75
1300,17483,2025-06-07,Smart Meter,Installation,Smart Meter Installation angefragt,Positiv,Email,Mittel,2025-06-18,43
1301,17562,2024-06-10,Tarif,Vertrag,Vertragsverlängerung,Neutral,Telefon,Niedrig,2024-06-24,103
1302,4468,2025-05-24,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Neutral,Email,Mittel,2025-05-29,13
1303,4015,2023-05-12,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,Telefon,Mittel,2023-05-24,65
1304,7524,2025-02-12,Rechnung,Abrechnung,Abschlag zu hoch,Negativ,Email,Hoch,2025-02-17,190
1305,14625,2023-05-25,Rechnung,Abrechnung,Gutschrift angefragt,Positiv,Chat,Niedrig,2023-05-28,55
1306,18044,2024-07-09,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Neutral,Email,Niedrig,2024-07-15,5
1307,18837,2023-02-21,Solar,Technisch,Solaranlage produziert nicht,Negativ,Telefon,Hoch,2023-02-22,29
1308,4381,2023-07-24,Smart Meter,Installation,Smart Meter zeigt keine Daten,Neutral,App,Kritisch,2023-07-25,118
1309,10173,2025-03-29,Solar,Technisch,Solaranlage Ertrag niedrig,Neutral,App,Mittel,2025-04-07,50
1310,4881,2023-08-31,Allgemein,Service,Lob,Positiv,Chat,Niedrig,2023-09-05,83
1311,3644,2023-02-24,Solar,Technisch,Solaranlage produziert nicht,Negativ,App,Hoch,2023-03-02,89
1312,2884,2024-10-19,Wärmepumpe,Technisch,Fehlercode E01 angezeigt,Positiv,Telefon,Mittel,2024-10-27,10
1313,7603,2025-02-07,Solar,Technisch,Solaranlage Ertrag niedrig,Neutral,App,Niedrig,2025-02-10,69
1314,18669,2025-06-02,Speicher,Technisch,Speicher lädt nicht,Negativ,App,Hoch,2025-06-03,63
1315,9781,2024-10-16,Rechnung,Abrechnung,Abschlag zu hoch,Negativ,App,Mittel,2024-10-30,148
1316,10774,2023-08-01,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,Email,Mittel,2023-08-11,195
1317,6177,2023-10-22,Wärmepumpe,Technisch,Geräuschentwicklung zu hoch,Neutral,Email,Niedrig,2023-10-27,20
1318,13779,2024-07-24,Wallbox,E-Mobility,Wallbox lädt nicht,Negativ,Email,Mittel,2024-07-27,192
1319,6025,2024-12-27,Solar,Technisch,Monitoring nicht verfügbar,Negativ,Email,Niedrig,2024-12-31,77
1320,137,2023-09-05,Tarif,Vertrag,Kündigung,Neutral,App,Mittel,2023-09-17,111
1321,2190,2023-08-28,Allgemein,Service,Lob,Positiv,Telefon,Niedrig,2023-09-07,162
1322,19475,2024-03-26,Speicher,Technisch,Speicher lädt nicht,Negativ,App,Hoch,2024-03-26,17
1323,5063,2024-10-10,Wallbox,E-Mobility,Wallbox Installation angefragt,Neutral,Telefon,Mittel,2024-10-24,48
1324,5694,2023-05-16,Solar,Technisch,Solaranlage produziert nicht,Negativ,Telefon,Kritisch,2023-05-22,138
1325,18435,2023-03-05,Solar,Technisch,Monitoring nicht verfügbar,Negativ,Chat,Hoch,2023-03-09,168
1326,2013,2024-10-29,Solar,Technisch,Solaranlage produziert nicht,Negativ,Chat,Kritisch,2024-11-05,42
1327,6949,2024-12-03,Allgemein,Service,Kontaktdaten ändern,Neutral,Telefon,Mittel,2024-12-16,16
1328,17159,2023-04-03,Wärmepumpe,Technisch,Wärmepumpe Störung,Negativ,App,Kritisch,2023-04-08,95
1329,1138,2024-12-12,Solar,Technisch,Solaranlage produziert nicht,Negativ,Email,Kritisch,2024-12-19,12
1330,9801,2024-04-29,Solar,Technisch,Monitoring nicht verfügbar,Negativ,Telefon,Hoch,2024-05-05,53
1331,19878,2023-11-14,Wallbox,E-Mobility,Wallbox lädt nicht,Negativ,Telefon,Kritisch,2023-11-19,43
1332,3114,2024-02-27,Wärmepumpe,Technisch,Fehlercode E01 angezeigt,Negativ,Email,Niedrig,2024-03-08,183
1333,13908,2025-06-03,Wallbox,E-Mobility,Ladekarte Probleme,Neutral,Telefon,Niedrig,2025-06-14,99
1334,5536,2023-09-10,Solar,Technisch,Solaranlage Ertrag niedrig,Neutral,Chat,Niedrig,2023-09-17,119
1335,19810,2024-05-25,Allgemein,Service,Allgemeine Anfrage,Neutral,Email,Hoch,2024-05-27,125
1336,16762,2025-01-10,Allgemein,Service,Allgemeine Anfrage,Neutral,App,Mittel,2025-01-12,4
1337,3295,2024-01-10,Rechnung,Abrechnung,Rechnungsfrage,Neutral,Telefon,Mittel,2024-01-16,117
1338,19328,2023-11-16,Solar,Technisch,Einspeisevergütung Frage,Positiv,Chat,Niedrig,2023-11-27,199
1339,16283,2024-11-15,Tarif,Vertrag,Kündigung,Neutral,Telefon,Niedrig,2024-11-20,78
1340,1922,2024-04-22,Solar,Technisch,Wechselrichter Fehler,Neutral,Email,Niedrig,2024-04-23,177
1341,6104,2025-05-09,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,Chat,Mittel,2025-05-11,91
1342,4894,2023-10-24,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Positiv,Telefon,Hoch,2023-10-30,116
1343,3806,2024-10-04,Smart Meter,Installation,Smart Meter App funktioniert nicht,Negativ,Telefon,Hoch,2024-10-10,144
1344,4485,2024-10-29,Allgemein,Service,Lob,Positiv,Chat,Niedrig,2024-11-01,103
1345,17763,2023-04-29,Smart Meter,Installation,Smart Meter defekt,Negativ,Email,Hoch,2023-05-03,18
1346,12177,2025-04-27,Rechnung,Abrechnung,Unstimmigkeit in Rechnung,Neutral,App,Mittel,2025-05-05,123
1347,4506,2025-02-15,Speicher,Technisch,Kapazität gesunken,Negativ,Chat,Mittel,2025-02-24,152
1348,2561,2023-05-28,Wallbox,E-Mobility,Wallbox lädt nicht,Negativ,Telefon,Kritisch,2023-06-03,190
1349,12210,2024-01-24,Rechnung,Abrechnung,Zahlungsplan angefragt,Positiv,Telefon,Mittel,2024-02-06,158
1350,11937,2024-01-20,Solar,Technisch,Monitoring nicht verfügbar,Negativ,Chat,Hoch,2024-01-26,176
1351,7081,2023-01-22,Tarif,Vertrag,Preisgarantie Frage,Neutral,Email,Mittel,2023-01-23,69
1352,19497,2023-10-12,Rechnung,Abrechnung,Gutschrift angefragt,Negativ,App,Mittel,2023-10-24,160
1353,14431,2024-01-30,Smart Meter,Installation,Smart Meter zeigt keine Daten,Positiv,Chat,Hoch,2024-02-04,64
1354,15491,2024-07-04,Wallbox,E-Mobility,Ladekarte Probleme,Neutral,Email,Niedrig,2024-07-10,134
1355,9717,2024-04-29,Solar,Technisch,Monitoring nicht verfügbar,Negativ,Chat,Mittel,2024-05-06,176
1356,8773,2023-05-07,Wallbox,E-Mobility,App-Verbindung unterbrochen,Neutral,Chat,Kritisch,2023-05-07,81
1357,9771,2024-02-16,Wallbox,E-Mobility,Wallbox defekt,Negativ,Telefon,Mittel,2024-02-25,133
1358,3891,2023-11-13,Solar,Technisch,Monitoring nicht verfügbar,Negativ,Email,Hoch,2023-11-18,83
1359,9166,2024-01-07,Tarif,Vertrag,Kündigung,Neutral,Email,Mittel,2024-01-20,31
1360,10273,2023-03-09,Smart Meter,Installation,Smart Meter defekt,Negativ,Chat,Hoch,2023-03-09,73
1361,2261,2024-08-12,Wärmepumpe,Technisch,Effizienz zu niedrig,Neutral,Telefon,Hoch,2024-08-18,169
1362,4989,2023-02-03,Solar,Technisch,Wechselrichter Fehler,Neutral,Chat,Niedrig,2023-02-04,116
1363,8581,2025-04-27,Wallbox,E-Mobility,Wallbox defekt,Negativ,Chat,Mittel,2025-05-09,95
1364,1372,2023-02-05,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,App,Mittel,2023-02-16,188
1365,14142,2023-11-24,Allgemein,Service,Informationsanfrage,Neutral,Chat,Hoch,2023-11-28,89
1366,15893,2023-04-12,Solar,Technisch,Einspeisevergütung Frage,Negativ,Chat,Mittel,2023-04-18,9
1367,2046,2024-11-05,Wärmepumpe,Technisch,Wärmepumpe läuft nicht,Negativ,Telefon,Hoch,2024-11-05,53
1368,5837,2023-07-02,Wärmepumpe,Technisch,Wärmepumpe läuft nicht,Negativ,Email,Mittel,2023-07-06,194
1369,19572,2023-03-20,Rechnung,Abrechnung,Rechnungsfrage,Neutral,Email,Hoch,2023-03-20,172
1370,5221,2024-07-23,Solar,Technisch,Solaranlage produziert nicht,Negativ,App,Hoch,2024-07-27,75
1371,3992,2023-05-20,Smart Meter,Installation,Smart Meter zeigt keine Daten,Negativ,App,Mittel,2023-05-20,17
1372,9501,2023-09-05,Tarif,Vertrag,Vertragsverlängerung,Neutral,App,Kritisch,2023-09-05,61
1373,5880,2025-01-07,Wärmepumpe,Technisch,Wärmepumpe läuft nicht,Negativ,Telefon,Hoch,2025-01-12,111
1374,2933,2023-05-29,Wallbox,E-Mobility,Ladekarte Probleme,Negativ,App,Niedrig,2023-05-30,56
1375,7377,2025-04-23,Wärmepumpe,Technisch,Wärmepumpe läuft nicht,Negativ,Email,Hoch,2025-04-28,78
1376,17335,2023-05-31,Tarif,Vertrag,Kündigung,Neutral,App,Mittel,2023-06-14,47
1377,19319,2023-08-27,Wallbox,E-Mobility,Wallbox lädt nicht,Negativ,App,Kritisch,2023-08-27,5
1378,7609,2025-04-27,Solar,Technisch,Monitoring nicht verfügbar,Negativ,Chat,Mittel,2025-04-27,73
1379,19634,2024-06-30,Rechnung,Abrechnung,Gutschrift angefragt,Neutral,Chat,Mittel,2024-07-01,36
1380,5142,2024-03-01,Speicher,Technisch,Batteriespeicher Störung,Negativ,Telefon,Hoch,2024-03-04,15
1381,11469,2025-04-18,Speicher,Technisch,Kapazität gesunken,Neutral,App,Niedrig,2025-04-26,68
1382,16975,2023-10-21,Wärmepumpe,Technisch,Effizienz zu niedrig,Negativ,Chat,Hoch,2023-10-28,177
1383,17803,2024-05-24,Allgemein,Service,Allgemeine Anfrage,Positiv,Chat,Hoch,2024-05-26,27
1384,11394,2023-08-25,Speicher,Technisch,Batteriespeicher Störung,Negativ,Chat,Kritisch,2023-09-01,86
1385,5801,2025-01-03,Wallbox,E-Mobility,Ladekarte Probleme,Positiv,Chat,Niedrig,2025-01-14,11
1386,13513,2023-11-22,Speicher,Technisch,Batteriespeicher Störung,Negativ,Chat,Hoch,2023-11-28,96
1387,11095,2024-09-23,Wärmepumpe,Technisch,Effizienz zu niedrig,Neutral,Telefon,Mittel,2024-10-04,118
1388,9824,2023-01-15,Smart Meter,Installation,Smart Meter Ablesung fehlerhaft,Neutral,Email,Hoch,2023-01-22,48
1389,19619,2025-04-09,Wärmepumpe,Technisch,Fehlercode E01 angezeigt,Neutral,App,Mittel,2025-04-20,174
1390,19229,2024-03-27,Speicher,Technisch,Batteriespeicher Störung,Negativ,Email,Hoch,2024-03-31,157
1391,9922,2023-06-20,Rechnung,Abrechnung,Zahlungsplan angefragt,Neutral,App,Niedrig,2023-06-22,74
1392,9587,2025-04-28,Speicher,Technisch,Speicher lädt nicht,Negativ,App,Mittel,2025-05-12,150
1393,2017,2025-01-16,Wärmepumpe,Technisch,Wartung angefragt,Positiv,Email,Kritisch,2025-01-23,31
1394,9555,2024-03-11,Allgemein,Service,Lob,Positiv,App,Niedrig,2024-03-15,49
1395,18450,2025-03-08,Tarif,Vertrag,Vertragsverlängerung,Positiv,App,Niedrig,2025-03-15,72
1396,6823,2024-07-31,Tarif,Vertrag,Umzug melden,Neutral,Chat,Hoch,2024-08-03,119
1397,9279,2025-03-11,Rechnung,Abrechnung,Gutschrift angefragt,Negativ,App,Mittel,2025-03-16,139
1398,938,2024-11-10,Allgemein,Service,Kontaktdaten ändern,Positiv,Telefon,Niedrig,2024-11-21,187
1399,2647,2024-12-22,Solar,Technisch,Einspeisevergütung Frage,Neutral,Email,Mittel,2024-12-29,171
1400,812,2024-07-27,Solar,Technisch,Monitoring nicht verfügbar,Negativ,Telefon,Mittel,2024-08-08,117
1401,12605,2024-01-03,Solar,Technisch,Solaranlage produziert nicht,Negativ,Email,Hoch,2024-01-06,117
1402,1570,2024-09-04,Allgemein,Service,Informationsanfrage,Neutral,App,Mittel,2024-09-06,29
1403,17838,2023-05-11,Wallbox,E-Mobility,Wallbox Installation angefragt,Neutral,Chat,Niedrig,2023-05-13,173
1404,9552,2024-10-04,Rechnung,Abrechnung,Rechnungsfrage,Negativ,Email,Mittel,2024-10-14,114
